Datum;Konto;Typ av transaktion;Värdepapper/beskrivning;Antal;Kurs;Belopp;Courtage;Valuta;ISIN
2019-02-12;ISK - Aktier;Sälj;Hansa Biopharma;-9;216,60;1944,00;5,00;SEK;SE0002148817
2019-02-08;ISK - Aktier;Köp;Hansa Biopharma;9;214,00;-1931,00;5,00;SEK;SE0002148817
2019-02-06;ISK - Aktier;Sälj;Starbreeze B;-1600;1,21;1929,00;5,00;SEK;SE0005992831
2019-02-06;ISK - Aktier;Köp;Starbreeze B;1600;0,95;-1524,00;4,00;SEK;SE0005992831
2019-02-04;ISK - Aktier;Sälj;BOL;-6;227,00;1359,00;3,00;SEK;SE0011088665
2019-01-30;ISK - Aktier;Köp;Volvo B;10;125,90;-1262,00;3,00;SEK;SE0000115446
2019-01-30;ISK - Aktier;Köp;Volvo B;10;125,00;-1253,00;3,00;SEK;SE0000115446
2019-01-29;ISK - Aktier;Köp;SkiStar B;15;108,98;-1639,00;4,00;SEK;SE0012141687
2019-01-29;ISK - Aktier;Köp;Kinnevik B;6;223,20;-1342,00;3,00;SEK;SE0008373906
2019-01-29;ISK - Aktier;Sälj;Precise Biometrics;-3000;1,77;5288,00;13,00;SEK;SE0001823303
2019-01-28;ISK - Aktier;Köp;Investor B;5;392,90;-1970,00;5,00;SEK;SE0000107419
2019-01-24;ISK - Aktier;Köp;Starbreeze B;1000;0,76;-764,00;2,00;SEK;SE0005992831
2019-01-18;ISK - Aktier;Sälj;Epiroc B;-41;81,76;3344,00;8,00;SEK;SE0011166941
2019-01-18;ISK - Aktier;Köp;Kinnevik B;7;224,00;-1572,00;4,00;SEK;SE0008373906
2019-01-18;ISK - Aktier;Köp;Mekonomen;20;76,90;-1542,00;4,00;SEK;SE0002110064
2019-01-17;ISK - Aktier;Köp;Investor B;4;389,90;-1564,00;4,00;SEK;SE0000107419
2019-01-16;ISK - Aktier;Köp;Enorama Pharma;10;59,00;-591,00;1,00;SEK;SE0008216329
2019-01-14;ISK - Aktier;Köp;Kinnevik B;7;221,60;-1555,00;4,00;SEK;SE0008373906
2019-01-14;ISK - Aktier;Köp;Investor B;4;392,40;-1574,00;4,00;SEK;SE0000107419
2018-12-10;ISK - Aktier;Köp;Enorama Pharma;10;63,00;-632,00;2,00;SEK;SE0008216329
2018-12-06;ISK - Aktier;Köp;BOL;6;193,22;-1162,00;3,00;SEK;SE0011088665
2018-12-04;ISK - Aktier;Sälj;Starbreeze B;-5800;0,88;5062,00;13,00;SEK;SE0005992831
2018-12-04;ISK - Aktier;Köp;Starbreeze B;3000;0,82;-2454,00;6,00;SEK;SE0005992831
2018-12-04;ISK - Aktier;Köp;Starbreeze B;2000;0,82;-1644,00;4,00;SEK;SE0005992831
2018-12-04;ISK - Aktier;Köp;Starbreeze B;750;0,74;-556,00;1,00;SEK;SE0005992831
2018-12-03;ISK - Aktier;Köp;Starbreeze B;1800;0,59;-1070,00;3,00;SEK;SE0005992831
2018-12-03;ISK - Aktier;Köp;Starbreeze B;1000;0,85;-852,00;2,00;SEK;SE0005992831
2018-11-29;ISK - Aktier;Sälj;Husqvarna B;-160;72,10;11507,00;29,00;SEK;SE0001662230
2018-11-14;ISK - Aktier;Köp;Starbreeze B;100;5,32;-533,00;1,00;SEK;SE0005992831
2018-11-05;ISK - Aktier;Sälj;ERMA TR;-108;4,00;431,00;1,00;SEK;SE0011870302
2018-10-31;ISK - Aktier;Avskiljning teckn.rätter;ERMA TR;108;-;-;-;SEK;SE0011870302
2018-10-19;ISK - Aktier;Köp;Atlas Copco B;4;197,10;-790,00;2,00;SEK;SE0011166628
2018-10-19;ISK - Aktier;Köp;Husqvarna B;30;66,20;-1991,00;5,00;SEK;SE0001662230
2018-10-17;ISK - Aktier;Köp;Enorama Pharma;20;70,00;-1404,00;4,00;SEK;SE0008216329
2018-10-17;ISK - Aktier;Köp;Starbreeze B;200;6,95;-1393,00;3,00;SEK;SE0005992831
2018-10-16;ISK - Aktier;Utdelning;Husqvarna B;130;1,50;195,00;-;SEK;SE0001662230
2018-10-11;ISK - Aktier;Sälj;Hansa Biopharma;-17;319,80;5423,00;14,00;SEK;SE0002148817
2018-10-08;ISK - Aktier;Köp;Precise Biometrics;1000;1,61;-1613,00;4,00;SEK;SE0001823303
2018-09-26;ISK - Aktier;Köp;Starbreeze B;300;8,26;-2477,00;-;SEK;SE0005992831
2018-09-21;ISK - Aktier;Köp;Precise Biometrics;1250;1,64;-2051,00;-;SEK;SE0001823303
2018-09-10;ISK - Aktier;Sälj;Xspray Pharma;-68;91,70;6220,00;16,00;SEK;SE0009973563
2018-08-17;ISK - Aktier;Köp;Starbreeze B;515;8,79;-4527,00;-;SEK;SE0005992831
2018-08-17;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;4500,00;-;SEK;-
2018-08-06;ISK - Aktier;Köp;Enorama Pharma;33;66,00;-2183,00;5,00;SEK;SE0008216329
2018-08-03;ISK - Aktier;Sälj;Mycronic;-22;98,15;2159,00;-;SEK;SE0000375115
2018-07-18;ISK - Aktier;Köp;Epiroc B;8;85,32;-683,00;-;SEK;SE0011166941
2018-07-18;ISK - Aktier;Köp;Husqvarna B;100;72,90;-7290,00;-;SEK;SE0001662230
2018-07-18;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;8000,00;-;SEK;-
2018-07-17;ISK - Aktier;Köp;Husqvarna B;30;70,68;-2120,00;-;SEK;SE0001662230
2018-07-16;ISK - Aktier;Köp;Enorama Pharma;55;79,00;-4356,00;11,00;SEK;SE0008216329
2018-07-16;ISK - Aktier;Köp;Precise Biometrics;350;1,69;-590,00;-;SEK;SE0001823303
2018-07-16;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;7000,00;-;SEK;-
2018-06-25;ISK - Aktier;Köp;Atlas Copco B;9;237,05;-2133,00;-;SEK;SE0011166628
2018-06-25;ISK - Aktier;Sälj;SAAB B;-6;358,90;2153,00;-;SEK;SE0000112385
2018-06-20;ISK - Aktier;Köp;Epiroc B;19;80,48;-1529,00;-;SEK;SE0011166941
2018-06-20;ISK - Aktier;Köp;Epiroc B;14;80,46;-1126,00;-;SEK;SE0011166941
2018-06-20;ISK - Aktier;Sälj;Kinnevik B;-5;312,90;1565,00;-;SEK;SE0008373906
2018-06-20;ISK - Aktier;Köp;Precise Biometrics;800;1,75;-1398,00;-;SEK;SE0001823303
2018-06-18;ISK - Aktier;Sälj;Epiroc B;-10;85,00;850,00;-;SEK;SE0011166941
